country,year,sex,age,suicides_no,population
Albania,1993,female,15-24 years,10.0,285300.0
Albania,1993,female,25-34 years,7.0,261800.0
Albania,1993,female,35-54 years,7.0,331200.0
Albania,1993,female,5-14 years,1.0,340300.0
Albania,1993,female,55-74 years,2.0,169500.0
Albania,1993,female,75+ years,0.0,39300.0
Albania,1993,male,15-24 years,18.0,243300.0
Albania,1993,male,25-34 years,9.0,230100.0
Albania,1993,male,35-54 years,10.0,350300.0
Albania,1993,male,5-14 years,1.0,367000.0
Albania,1993,male,55-74 years,7.0,165000.0
Albania,1993,male,75+ years,1.0,24200.0
Albania,1994,female,15-24 years,6.0,282600.0
Albania,1994,female,25-34 years,4.0,261100.0
Albania,1994,female,35-54 years,2.0,342500.0
Albania,1994,female,5-14 years,0.0,344400.0
Albania,1994,female,55-74 years,1.0,174600.0
Albania,1994,female,75+ years,2.0,39900.0
Albania,1994,male,15-24 years,6.0,242200.0
Albania,1994,male,25-34 years,6.0,231400.0
Albania,1994,male,35-54 years,9.0,362800.0
Albania,1994,male,5-14 years,1.0,371800.0
Albania,1994,male,55-74 years,11.0,171400.0
Albania,1994,male,75+ years,2.0,24600.0
Albania,1995,female,15-24 years,13.0,283500.0
Albania,1995,female,25-34 years,7.0,264000.0
Albania,1995,female,35-54 years,8.0,356400.0
Albania,1995,female,5-14 years,2.0,348700.0
Albania,1995,female,55-74 years,2.0,180400.0
Albania,1995,female,75+ years,2.0,40800.0
Albania,1995,male,15-24 years,11.0,241200.0
Albania,1995,male,25-34 years,13.0,232900.0
Albania,1995,male,35-54 years,14.0,375900.0
Albania,1995,male,5-14 years,6.0,376500.0
Albania,1995,male,55-74 years,9.0,178000.0
Albania,1995,male,75+ years,1.0,25100.0
Albania,1996,female,15-24 years,16.0,287700.0
Albania,1996,female,25-34 years,10.0,267900.0
Albania,1996,female,35-54 years,9.0,362000.0
Albania,1996,female,5-14 years,1.0,354100.0
Albania,1996,female,55-74 years,1.0,183100.0
Albania,1996,female,75+ years,2.0,41200.0
Albania,1996,male,15-24 years,17.0,243600.0
Albania,1996,male,25-34 years,14.0,235300.0
Albania,1996,male,35-54 years,12.0,379600.0
Albania,1996,male,5-14 years,2.0,380400.0
Albania,1996,male,55-74 years,3.0,179900.0
Albania,1996,male,75+ years,2.0,25400.0
Albania,1997,female,15-24 years,21.0,294000.0
Albania,1997,female,25-34 years,16.0,273900.0
Albania,1997,female,35-54 years,7.0,370100.0
Albania,1997,female,5-14 years,6.0,361800.0
Albania,1997,female,55-74 years,0.0,187000.0
Albania,1997,female,75+ years,2.0,42100.0
Albania,1997,male,15-24 years,33.0,244400.0
Albania,1997,male,25-34 years,36.0,236000.0
Albania,1997,male,35-54 years,30.0,380800.0
Albania,1997,male,5-14 years,4.0,381500.0
Albania,1997,male,55-74 years,12.0,180300.0
Albania,1997,male,75+ years,3.0,25400.0
Albania,1998,female,15-24 years,32.0,295600.0
Albania,1998,female,25-34 years,10.0,275300.0
Albania,1998,female,35-54 years,9.0,372100.0
Albania,1998,female,5-14 years,1.0,363800.0
Albania,1998,female,55-74 years,6.0,188200.0
Albania,1998,female,75+ years,0.0,42300.0
Albania,1998,male,15-24 years,27.0,248800.0
Albania,1998,male,25-34 years,26.0,240400.0
Albania,1998,male,35-54 years,29.0,388200.0
Albania,1998,male,5-14 years,2.0,388400.0
Albania,1998,male,55-74 years,9.0,183800.0
Albania,1998,male,75+ years,3.0,25800.0
Albania,1999,female,15-24 years,19.0,296800.0
Albania,1999,female,25-34 years,13.0,276500.0
Albania,1999,female,35-54 years,5.0,373600.0
Albania,1999,female,5-14 years,1.0,365200.0
Albania,1999,female,55-74 years,6.0,188800.0
Albania,1999,female,75+ years,4.0,42400.0
Albania,1999,male,15-24 years,24.0,250600.0
Albania,1999,male,25-34 years,19.0,242300.0
Albania,1999,male,35-54 years,31.0,391100.0
Albania,1999,male,5-14 years,0.0,391300.0
Albania,1999,male,55-74 years,14.0,185200.0
Albania,1999,male,75+ years,3.0,25900.0
Albania,2000,female,15-24 years,6.0,263900.0
Albania,2000,female,25-34 years,3.0,245800.0
Albania,2000,female,35-54 years,5.0,332200.0
Albania,2000,female,5-14 years,0.0,324700.0
Albania,2000,female,55-74 years,0.0,168000.0
Albania,2000,female,75+ years,2.0,37800.0
Albania,2000,male,15-24 years,5.0,240000.0
Albania,2000,male,25-34 years,17.0,232000.0
Albania,2000,male,35-54 years,4.0,374700.0
Albania,2000,male,5-14 years,1.0,374900.0
Albania,2000,male,55-74 years,10.0,177400.0
Albania,2000,male,75+ years,1.0,24900.0
Albania,2001,female,15-24 years,9.0,271359.0
Albania,2001,female,25-34 years,4.0,222771.0
Albania,2001,female,35-54 years,12.0,370191.0
Albania,2001,female,5-14 years,2.0,307356.0
Albania,2001,female,55-74 years,6.0,189799.0
Albania,2001,female,75+ years,2.0,47254.0
Albania,2001,male,15-24 years,10.0,256039.0
Albania,2001,male,25-34 years,22.0,206484.0
Albania,2001,male,35-54 years,34.0,378826.0
Albania,2001,male,5-14 years,6.0,321556.0
Albania,2001,male,55-74 years,11.0,196670.0
Albania,2001,male,75+ years,1.0,31044.0
Albania,2002,female,15-24 years,14.0,275970.0
Albania,2002,female,25-34 years,7.0,223685.0
Albania,2002,female,35-54 years,15.0,375113.0
Albania,2002,female,5-14 years,1.0,304850.0
Albania,2002,female,55-74 years,4.0,191712.0
Albania,2002,female,75+ years,1.0,47407.0
Albania,2002,male,15-24 years,15.0,263067.0
Albania,2002,male,25-34 years,23.0,206286.0
Albania,2002,male,35-54 years,35.0,382139.0
Albania,2002,male,5-14 years,1.0,319473.0
Albania,2002,male,55-74 years,13.0,198130.0
Albania,2002,male,75+ years,4.0,31007.0
Albania,2003,female,15-24 years,14.0,283709.0
Albania,2003,female,25-34 years,9.0,222941.0
Albania,2003,female,35-54 years,13.0,381760.0
Albania,2003,female,5-14 years,0.0,298477.0
Albania,2003,female,55-74 years,9.0,195699.0
Albania,2003,female,75+ years,6.0,49088.0
Albania,2003,male,15-24 years,15.0,273235.0
Albania,2003,male,25-34 years,9.0,205433.0
Albania,2003,male,35-54 years,28.0,386196.0
Albania,2003,male,5-14 years,4.0,313204.0
Albania,2003,male,55-74 years,16.0,201520.0
Albania,2003,male,75+ years,1.0,32667.0
Albania,2004,female,15-24 years,20.0,292268.0
Albania,2004,female,25-34 years,11.0,222389.0
Albania,2004,female,35-54 years,17.0,391436.0
Albania,2004,female,5-14 years,3.0,286705.0
Albania,2004,female,55-74 years,3.0,203841.0
Albania,2004,female,75+ years,3.0,50970.0
Albania,2004,male,15-24 years,19.0,286768.0
Albania,2004,male,25-34 years,16.0,203938.0
Albania,2004,male,35-54 years,39.0,391767.0
Albania,2004,male,5-14 years,1.0,302181.0
Albania,2004,male,55-74 years,10.0,207202.0
Albania,2004,male,75+ years,4.0,35526.0
Albania,2005,female,15-24 years,0.0,281922.0
Albania,2005,female,25-34 years,0.0,190745.0
Albania,2005,female,35-54 years,0.0,386513.0
Albania,2005,female,5-14 years,0.0,276559.0
Albania,2005,female,55-74 years,0.0,210998.0
Albania,2005,female,75+ years,0.0,53191.0
Albania,2005,male,15-24 years,0.0,281675.0
Albania,2005,male,25-34 years,0.0,177519.0
Albania,2005,male,35-54 years,0.0,380242.0
Albania,2005,male,5-14 years,0.0,291367.0
Albania,2005,male,55-74 years,0.0,214118.0
Albania,2005,male,75+ years,0.0,38471.0
Albania,2006,female,15-24 years,0.0,283138.0
Albania,2006,female,25-34 years,0.0,186391.0
Albania,2006,female,35-54 years,0.0,388746.0
Albania,2006,female,5-14 years,0.0,267316.0
Albania,2006,female,55-74 years,0.0,215907.0
Albania,2006,female,75+ years,0.0,56011.0
Albania,2006,male,15-24 years,0.0,286679.0
Albania,2006,male,25-34 years,0.0,174092.0
Albania,2006,male,35-54 years,0.0,379076.0
Albania,2006,male,5-14 years,0.0,282678.0
Albania,2006,male,55-74 years,0.0,219360.0
Albania,2006,male,75+ years,0.0,40782.0
Albania,2007,female,15-24 years,13.0,281080.0
Albania,2007,female,25-34 years,8.0,183629.0
Albania,2007,female,35-54 years,14.0,391811.0
Albania,2007,female,5-14 years,0.0,256808.0
Albania,2007,female,55-74 years,9.0,221120.0
Albania,2007,female,75+ years,3.0,57404.0
Albania,2007,male,15-24 years,13.0,288349.0
Albania,2007,male,25-34 years,9.0,172494.0
Albania,2007,male,35-54 years,29.0,378626.0
Albania,2007,male,5-14 years,4.0,272497.0
Albania,2007,male,55-74 years,14.0,224160.0
Albania,2007,male,75+ years,8.0,42366.0
Albania,2008,female,15-24 years,20.0,276073.0
Albania,2008,female,25-34 years,9.0,182663.0
Albania,2008,female,35-54 years,19.0,393832.0
Albania,2008,female,5-14 years,1.0,246288.0
Albania,2008,female,55-74 years,7.0,226448.0
Albania,2008,female,75+ years,5.0,59369.0
Albania,2008,male,15-24 years,11.0,286702.0
Albania,2008,male,25-34 years,21.0,172855.0
Albania,2008,male,35-54 years,37.0,377119.0
Albania,2008,male,5-14 years,7.0,262464.0
Albania,2008,male,55-74 years,21.0,228672.0
Albania,2008,male,75+ years,2.0,44574.0
Albania,2009,female,15-24 years,0.0,270003.0
Albania,2009,female,25-34 years,0.0,182712.0
Albania,2009,female,35-54 years,0.0,394286.0
Albania,2009,female,5-14 years,0.0,236174.0
Albania,2009,female,55-74 years,0.0,233302.0
Albania,2009,female,75+ years,0.0,61582.0
Albania,2009,male,15-24 years,0.0,283448.0
Albania,2009,male,25-34 years,0.0,174955.0
Albania,2009,male,35-54 years,0.0,374365.0
Albania,2009,male,5-14 years,0.0,253007.0
Albania,2009,male,55-74 years,0.0,234570.0
Albania,2009,male,75+ years,0.0,47331.0
Albania,2010,female,15-24 years,6.0,263581.0
Albania,2010,female,25-34 years,6.0,183579.0
Albania,2010,female,35-54 years,12.0,394593.0
Albania,2010,female,5-14 years,2.0,223969.0
Albania,2010,female,55-74 years,7.0,241491.0
Albania,2010,female,75+ years,2.0,64415.0
Albania,2010,male,15-24 years,10.0,279508.0
Albania,2010,male,25-34 years,9.0,179720.0
Albania,2010,male,35-54 years,20.0,371611.0
Albania,2010,male,5-14 years,0.0,240939.0
Albania,2010,male,55-74 years,20.0,241852.0
Albania,2010,male,75+ years,2.0,50767.0
Antigua And Barbuda,1983,female,15-24 years,0.0,7882.0
Antigua And Barbuda,1983,female,25-34 years,0.0,6341.0
Antigua And Barbuda,1983,female,35-54 years,0.0,6284.0
Antigua And Barbuda,1983,female,5-14 years,0.0,8119.0
Antigua And Barbuda,1983,female,55-74 years,0.0,3729.0
Antigua And Barbuda,1983,female,75+ years,0.0,904.0
Antigua And Barbuda,1983,male,15-24 years,0.0,7932.0
Antigua And Barbuda,1983,male,25-34 years,0.0,6317.0
Antigua And Barbuda,1983,male,35-54 years,0.0,5929.0
Antigua And Barbuda,1983,male,5-14 years,0.0,8165.0
Antigua And Barbuda,1983,male,55-74 years,0.0,2700.0
Antigua And Barbuda,1983,male,75+ years,0.0,389.0
Antigua And Barbuda,1985,female,15-24 years,0.0,7709.0
Antigua And Barbuda,1985,female,25-34 years,0.0,6344.0
Antigua And Barbuda,1985,female,35-54 years,0.0,6173.0
Antigua And Barbuda,1985,female,5-14 years,0.0,7339.0
Antigua And Barbuda,1985,female,55-74 years,0.0,3778.0
Antigua And Barbuda,1985,female,75+ years,0.0,949.0
Antigua And Barbuda,1985,male,15-24 years,0.0,7667.0
Antigua And Barbuda,1985,male,25-34 years,0.0,6194.0
Antigua And Barbuda,1985,male,35-54 years,0.0,5970.0
Antigua And Barbuda,1985,male,5-14 years,0.0,7304.0
Antigua And Barbuda,1985,male,55-74 years,0.0,2723.0
Antigua And Barbuda,1985,male,75+ years,0.0,424.0
Antigua And Barbuda,1986,female,15-24 years,0.0,7668.0
Antigua And Barbuda,1986,female,25-34 years,0.0,6209.0
Antigua And Barbuda,1986,female,35-54 years,0.0,6101.0
Antigua And Barbuda,1986,female,5-14 years,0.0,6907.0
Antigua And Barbuda,1986,female,55-74 years,0.0,3764.0
Antigua And Barbuda,1986,female,75+ years,0.0,1014.0
Antigua And Barbuda,1986,male,15-24 years,0.0,7563.0
Antigua And Barbuda,1986,male,25-34 years,0.0,6023.0
Antigua And Barbuda,1986,male,35-54 years,0.0,5947.0
Antigua And Barbuda,1986,male,5-14 years,0.0,6827.0
Antigua And Barbuda,1986,male,55-74 years,0.0,2771.0
Antigua And Barbuda,1986,male,75+ years,0.0,476.0
Antigua And Barbuda,1987,female,15-24 years,0.0,7583.0
Antigua And Barbuda,1987,female,25-34 years,0.0,6101.0
Antigua And Barbuda,1987,female,35-54 years,0.0,6059.0
Antigua And Barbuda,1987,female,5-14 years,0.0,6623.0
Antigua And Barbuda,1987,female,55-74 years,0.0,3738.0
Antigua And Barbuda,1987,female,75+ years,0.0,1081.0
Antigua And Barbuda,1987,male,15-24 years,0.0,7421.0
Antigua And Barbuda,1987,male,25-34 years,0.0,5893.0
Antigua And Barbuda,1987,male,35-54 years,0.0,5927.0
Antigua And Barbuda,1987,male,5-14 years,0.0,6499.0
Antigua And Barbuda,1987,male,55-74 years,0.0,2798.0
Antigua And Barbuda,1987,male,75+ years,0.0,538.0
Antigua And Barbuda,1988,female,15-24 years,0.0,7413.0
Antigua And Barbuda,1988,female,25-34 years,0.0,6041.0
Antigua And Barbuda,1988,female,35-54 years,0.0,6021.0
Antigua And Barbuda,1988,female,5-14 years,0.0,6527.0
Antigua And Barbuda,1988,female,55-74 years,0.0,3708.0
Antigua And Barbuda,1988,female,75+ years,0.0,1141.0
Antigua And Barbuda,1988,male,15-24 years,0.0,7209.0
Antigua And Barbuda,1988,male,25-34 years,0.0,5826.0
Antigua And Barbuda,1988,male,35-54 years,0.0,5907.0
Antigua And Barbuda,1988,male,5-14 years,0.0,6355.0
Antigua And Barbuda,1988,male,55-74 years,0.0,2813.0
Antigua And Barbuda,1988,male,75+ years,0.0,603.0
Antigua And Barbuda,1989,female,15-24 years,0.0,7152.0
Antigua And Barbuda,1989,female,25-34 years,0.0,6059.0
Antigua And Barbuda,1989,female,35-54 years,0.0,5969.0
Antigua And Barbuda,1989,female,5-14 years,0.0,6621.0
Antigua And Barbuda,1989,female,55-74 years,0.0,3696.0
Antigua And Barbuda,1989,female,75+ years,0.0,1195.0
Antigua And Barbuda,1989,male,15-24 years,0.0,6927.0
Antigua And Barbuda,1989,male,25-34 years,0.0,5835.0
Antigua And Barbuda,1989,male,35-54 years,0.0,5862.0
Antigua And Barbuda,1989,male,5-14 years,0.0,6403.0
Antigua And Barbuda,1989,male,55-74 years,0.0,2843.0
Antigua And Barbuda,1989,male,75+ years,0.0,676.0
Antigua And Barbuda,1990,female,15-24 years,0.0,6827.0
Antigua And Barbuda,1990,female,25-34 years,0.0,6172.0
Antigua And Barbuda,1990,female,35-54 years,0.0,5895.0
Antigua And Barbuda,1990,female,5-14 years,0.0,6877.0
Antigua And Barbuda,1990,female,55-74 years,0.0,3706.0
Antigua And Barbuda,1990,female,75+ years,0.0,1252.0
Antigua And Barbuda,1990,male,15-24 years,0.0,6598.0
Antigua And Barbuda,1990,male,25-34 years,0.0,5937.0
Antigua And Barbuda,1990,male,35-54 years,1.0,5799.0
Antigua And Barbuda,1990,male,5-14 years,0.0,6611.0
Antigua And Barbuda,1990,male,55-74 years,0.0,2902.0
Antigua And Barbuda,1990,male,75+ years,0.0,758.0
Antigua And Barbuda,1991,female,15-24 years,0.0,6595.0
Antigua And Barbuda,1991,female,25-34 years,0.0,6396.0
Antigua And Barbuda,1991,female,35-54 years,0.0,6198.0
Antigua And Barbuda,1991,female,5-14 years,0.0,7089.0
Antigua And Barbuda,1991,female,55-74 years,0.0,3665.0
Antigua And Barbuda,1991,female,75+ years,0.0,1293.0
Antigua And Barbuda,1991,male,15-24 years,0.0,6401.0
Antigua And Barbuda,1991,male,25-34 years,0.0,6156.0
Antigua And Barbuda,1991,male,35-54 years,0.0,6122.0
Antigua And Barbuda,1991,male,5-14 years,0.0,6818.0
Antigua And Barbuda,1991,male,55-74 years,0.0,2857.0
Antigua And Barbuda,1991,male,75+ years,0.0,804.0
Antigua And Barbuda,1992,female,15-24 years,0.0,6369.0
Antigua And Barbuda,1992,female,25-34 years,0.0,6650.0
Antigua And Barbuda,1992,female,35-54 years,0.0,6534.0
Antigua And Barbuda,1992,female,5-14 years,0.0,7311.0
Antigua And Barbuda,1992,female,55-74 years,0.0,3648.0
Antigua And Barbuda,1992,female,75+ years,0.0,1339.0
Antigua And Barbuda,1992,male,15-24 years,0.0,6221.0
Antigua And Barbuda,1992,male,25-34 years,0.0,6409.0
Antigua And Barbuda,1992,male,35-54 years,0.0,6497.0
Antigua And Barbuda,1992,male,5-14 years,0.0,7059.0
Antigua And Barbuda,1992,male,55-74 years,0.0,2851.0
Antigua And Barbuda,1992,male,75+ years,0.0,853.0
Antigua And Barbuda,1993,female,15-24 years,0.0,6182.0
Antigua And Barbuda,1993,female,25-34 years,0.0,6914.0
Antigua And Barbuda,1993,female,35-54 years,0.0,6917.0
Antigua And Barbuda,1993,female,5-14 years,0.0,7529.0
Antigua And Barbuda,1993,female,55-74 years,0.0,3662.0
Antigua And Barbuda,1993,female,75+ years,0.0,1386.0
Antigua And Barbuda,1993,male,15-24 years,0.0,6069.0
Antigua And Barbuda,1993,male,25-34 years,1.0,6668.0
Antigua And Barbuda,1993,male,35-54 years,0.0,6915.0
Antigua And Barbuda,1993,male,5-14 years,0.0,7298.0
Antigua And Barbuda,1993,male,55-74 years,0.0,2879.0
Antigua And Barbuda,1993,male,75+ years,0.0,896.0
Antigua And Barbuda,1994,female,15-24 years,0.0,6083.0
Antigua And Barbuda,1994,female,25-34 years,0.0,7151.0
Antigua And Barbuda,1994,female,35-54 years,0.0,7357.0
Antigua And Barbuda,1994,female,5-14 years,0.0,7722.0
Antigua And Barbuda,1994,female,55-74 years,0.0,3715.0
Antigua And Barbuda,1994,female,75+ years,0.0,1437.0
Antigua And Barbuda,1994,male,15-24 years,0.0,5976.0
Antigua And Barbuda,1994,male,25-34 years,0.0,6886.0
Antigua And Barbuda,1994,male,35-54 years,0.0,7359.0
Antigua And Barbuda,1994,male,5-14 years,0.0,7494.0
Antigua And Barbuda,1994,male,55-74 years,0.0,2935.0
Antigua And Barbuda,1994,male,75+ years,0.0,929.0
Antigua And Barbuda,1995,female,15-24 years,0.0,6099.0
Antigua And Barbuda,1995,female,25-34 years,0.0,7333.0
Antigua And Barbuda,1995,female,35-54 years,0.0,7851.0
Antigua And Barbuda,1995,female,5-14 years,0.0,7885.0
Antigua And Barbuda,1995,female,55-74 years,0.0,3808.0
Antigua And Barbuda,1995,female,75+ years,0.0,1488.0
Antigua And Barbuda,1995,male,15-24 years,0.0,5953.0
Antigua And Barbuda,1995,male,25-34 years,0.0,7023.0
Antigua And Barbuda,1995,male,35-54 years,0.0,7809.0
Antigua And Barbuda,1995,male,5-14 years,0.0,7632.0
Antigua And Barbuda,1995,male,55-74 years,0.0,3021.0
Antigua And Barbuda,1995,male,75+ years,0.0,944.0
Antigua And Barbuda,1998,female,15-24 years,0.0,6529.0
Antigua And Barbuda,1998,female,25-34 years,0.0,8332.0
Antigua And Barbuda,1998,female,35-54 years,0.0,9615.0
Antigua And Barbuda,1998,female,5-14 years,0.0,8183.0
Antigua And Barbuda,1998,female,55-74 years,0.0,3921.0
Antigua And Barbuda,1998,female,75+ years,0.0,1476.0
Antigua And Barbuda,1998,male,15-24 years,0.0,5916.0
Antigua And Barbuda,1998,male,25-34 years,0.0,7294.0
Antigua And Barbuda,1998,male,35-54 years,0.0,9086.0
Antigua And Barbuda,1998,male,5-14 years,0.0,7706.0
Antigua And Barbuda,1998,male,55-74 years,0.0,3213.0
Antigua And Barbuda,1998,male,75+ years,0.0,954.0
Antigua And Barbuda,1999,female,15-24 years,0.0,6589.0
Antigua And Barbuda,1999,female,25-34 years,0.0,8526.0
Antigua And Barbuda,1999,female,35-54 years,0.0,10311.0
Antigua And Barbuda,1999,female,5-14 years,0.0,8314.0
Antigua And Barbuda,1999,female,55-74 years,0.0,3968.0
Antigua And Barbuda,1999,female,75+ years,0.0,1451.0
Antigua And Barbuda,1999,male,15-24 years,0.0,5845.0
Antigua And Barbuda,1999,male,25-34 years,0.0,7263.0
Antigua And Barbuda,1999,male,35-54 years,0.0,9537.0
Antigua And Barbuda,1999,male,5-14 years,0.0,7805.0
Antigua And Barbuda,1999,male,55-74 years,0.0,3276.0
Antigua And Barbuda,1999,male,75+ years,0.0,947.0
Antigua And Barbuda,2000,female,15-24 years,0.0,6616.0
Antigua And Barbuda,2000,female,25-34 years,0.0,8595.0
Antigua And Barbuda,2000,female,35-54 years,0.0,11040.0
Antigua And Barbuda,2000,female,5-14 years,0.0,8439.0
Antigua And Barbuda,2000,female,55-74 years,0.0,3986.0
Antigua And Barbuda,2000,female,75+ years,0.0,1413.0
Antigua And Barbuda,2000,male,15-24 years,0.0,5783.0
Antigua And Barbuda,2000,male,25-34 years,0.0,7177.0
Antigua And Barbuda,2000,male,35-54 years,1.0,10033.0
Antigua And Barbuda,2000,male,5-14 years,0.0,7973.0
Antigua And Barbuda,2000,male,55-74 years,1.0,3333.0
Antigua And Barbuda,2000,male,75+ years,0.0,938.0
Antigua And Barbuda,2001,female,15-24 years,0.0,6902.0
Antigua And Barbuda,2001,female,25-34 years,0.0,8425.0
Antigua And Barbuda,2001,female,35-54 years,0.0,11402.0
Antigua And Barbuda,2001,female,5-14 years,0.0,8428.0
Antigua And Barbuda,2001,female,55-74 years,0.0,4037.0
Antigua And Barbuda,2001,female,75+ years,0.0,1487.0
Antigua And Barbuda,2001,male,15-24 years,0.0,6084.0
Antigua And Barbuda,2001,male,25-34 years,0.0,7071.0
Antigua And Barbuda,2001,male,35-54 years,2.0,10281.0
Antigua And Barbuda,2001,male,5-14 years,0.0,7958.0
Antigua And Barbuda,2001,male,55-74 years,0.0,3442.0
Antigua And Barbuda,2001,male,75+ years,0.0,980.0
Antigua And Barbuda,2002,female,15-24 years,0.0,7196.0
Antigua And Barbuda,2002,female,25-34 years,0.0,8155.0
Antigua And Barbuda,2002,female,35-54 years,0.0,11760.0
Antigua And Barbuda,2002,female,5-14 years,0.0,8408.0
Antigua And Barbuda,2002,female,55-74 years,0.0,4050.0
Antigua And Barbuda,2002,female,75+ years,0.0,1547.0
Antigua And Barbuda,2002,male,15-24 years,0.0,6416.0
Antigua And Barbuda,2002,male,25-34 years,0.0,6921.0
Antigua And Barbuda,2002,male,35-54 years,0.0,10604.0
Antigua And Barbuda,2002,male,5-14 years,0.0,7980.0
Antigua And Barbuda,2002,male,55-74 years,0.0,3527.0
Antigua And Barbuda,2002,male,75+ years,0.0,1024.0
Antigua And Barbuda,2003,female,15-24 years,0.0,7454.0
Antigua And Barbuda,2003,female,25-34 years,0.0,7831.0
Antigua And Barbuda,2003,female,35-54 years,0.0,12129.0
Antigua And Barbuda,2003,female,5-14 years,0.0,8423.0
Antigua And Barbuda,2003,female,55-74 years,0.0,4054.0
Antigua And Barbuda,2003,female,75+ years,0.0,1583.0
Antigua And Barbuda,2003,male,15-24 years,0.0,6730.0
Antigua And Barbuda,2003,male,25-34 years,0.0,6734.0
Antigua And Barbuda,2003,male,35-54 years,0.0,10997.0
Antigua And Barbuda,2003,male,5-14 years,0.0,8061.0
Antigua And Barbuda,2003,male,55-74 years,1.0,3594.0
Antigua And Barbuda,2003,male,75+ years,0.0,1068.0
Antigua And Barbuda,2004,female,15-24 years,0.0,7648.0
Antigua And Barbuda,2004,female,25-34 years,0.0,7531.0
Antigua And Barbuda,2004,female,35-54 years,0.0,12492.0
Antigua And Barbuda,2004,female,5-14 years,0.0,8488.0
Antigua And Barbuda,2004,female,55-74 years,0.0,4088.0
Antigua And Barbuda,2004,female,75+ years,0.0,1590.0
Antigua And Barbuda,2004,male,15-24 years,0.0,6968.0
Antigua And Barbuda,2004,male,25-34 years,0.0,6556.0
Antigua And Barbuda,2004,male,35-54 years,1.0,11406.0
Antigua And Barbuda,2004,male,5-14 years,0.0,8196.0
Antigua And Barbuda,2004,male,55-74 years,1.0,3665.0
Antigua And Barbuda,2004,male,75+ years,0.0,1094.0
Antigua And Barbuda,2005,female,15-24 years,0.0,7780.0
Antigua And Barbuda,2005,female,25-34 years,0.0,7327.0
Antigua And Barbuda,2005,female,35-54 years,0.0,12835.0
Antigua And Barbuda,2005,female,5-14 years,0.0,8584.0
Antigua And Barbuda,2005,female,55-74 years,0.0,4157.0
Antigua And Barbuda,2005,female,75+ years,0.0,1575.0
Antigua And Barbuda,2005,male,15-24 years,0.0,7113.0
Antigua And Barbuda,2005,male,25-34 years,0.0,6444.0
Antigua And Barbuda,2005,male,35-54 years,0.0,11778.0
Antigua And Barbuda,2005,male,5-14 years,0.0,8358.0
Antigua And Barbuda,2005,male,55-74 years,0.0,3748.0
Antigua And Barbuda,2005,male,75+ years,0.0,1110.0
Antigua And Barbuda,2006,female,15-24 years,0.0,7902.0
Antigua And Barbuda,2006,female,25-34 years,0.0,7098.0
Antigua And Barbuda,2006,female,35-54 years,0.0,13374.0
Antigua And Barbuda,2006,female,5-14 years,0.0,8571.0
Antigua And Barbuda,2006,female,55-74 years,0.0,4256.0
Antigua And Barbuda,2006,female,75+ years,0.0,1573.0
Antigua And Barbuda,2006,male,15-24 years,0.0,7239.0
Antigua And Barbuda,2006,male,25-34 years,0.0,6319.0
Antigua And Barbuda,2006,male,35-54 years,0.0,12202.0
